Year,Region,Drought_gdp,Extreme temperature_gdp,Flood_gdp,Storm_gdp,Wildfire_gdp,Drought_affected,Extreme temperature_affected,Flood_affected,Storm_affected,Wildfire_affected,Drought_deaths,Extreme temperature_deaths,Flood_deaths,Storm_deaths,Wildfire_deaths,Greenhouse gas emissions,Yearly average,Yearly anomaly average,Period,Total_Deaths,Total_Affected,Total_GDP_Loss
1981,South America,0.0,0.0,0.0008533843040251856,0.0,0.0,0,0,57300,0,0,0,0,317,0,0,11.842523,20.036627583333335,-0.49200662,1975-1999,317,57300,0.0008533843040251856
1982,Africa,0.00010631131458469588,0.0,0.009567037279267495,0.026997416612164815,0.0,2237300,0,667514,104722,0,0,0,229,95,0,4.365307,23.750565583333337,-0.8422306216666667,1975-1999,324,3009536,0.036670765206017
1982,Asia,0.0,0.0,0.013160915426187542,0.008522124774817483,0.0,102000000,0,35477674,7810715,9000,280,400,2457,1681,0,3.507431,18.65515866666667,-0.9589782833333333,1975-1999,4818,145297389,0.021683040201005026
1982,Europe,0.0,0.0,0.011314937493681976,0.0038446709573070055,0.0,0,0,244010,0,18,0,0,57,14,2,14.241769,9.052725308333333,-0.7903284583333333,1975-1999,73,244028,0.015159608450988982
1982,North America,0.0,0.0,0.004828482293423271,0.02500031197301855,0.0,0,200,93456,353500,0,0,0,1156,953,0,19.065979,24.97738683333333,-1.4691005133333332,1975-1999,2109,447156,0.02982879426644182
1982,Oceania,0.0,0.0,0.0,0.008120636406176884,0.0,0,0,0,176514,0,0,0,0,8,0,26.576275,24.205404416666667,-0.5279072196666666,1975-1999,8,176514,0.008120636406176884
1982,South America,0.0,0.0,0.046205172026085,0.0,0.0,0,0,928000,4300,0,0,0,729,33,0,11.4797945,20.2144435,-0.4052783660833333,1975-1999,762,932300,0.046205172026085
1983,Africa,0.007390058862001308,0.0,0.0001448005232177894,0.004943590582079791,0.0,34423000,0,137000,44163,0,450500,0,0,86,0,4.3608475,24.194694333333334,-0.40585724633333325,1975-1999,450586,34604163,0.012478449967298888
1983,Asia,0.0,0.0,0.0001269839764862046,0.004537923106096521,0.0,21691060,0,10359294,2938551,0,0,0,1450,3118,0,3.5578942,18.521835541666665,-0.48636495583333333,1975-1999,4568,34988905,0.004664907082582725
1983,Europe,0.0010081915287933417,0.0,0.04886549516460559,2.1225191225528187e-05,0.0021225090137143242,0,0,514324,1052,20,0,0,94,29,31,14.161857,9.043893341666667,-0.27739191124999996,1975-1999,154,515396,0.05201742089833878
1983,North America,0.0,0.0,0.004585255761663856,0.04121676784710512,0.0,156000,0,164575,291500,0,0,188,25,407,0,18.905127,25.177594916666667,-0.9604899647499999,1975-1999,620,612075,0.04580202360876897
1983,Oceania,0.004421385119326158,0.0,0.001753813757604118,0.017604539073467478,0.06361609733270941,31000,0,13140,217196,12000,0,0,56,16,75,29.101028,24.42854858333333,-0.49711846583333325,1975-1999,147,273336,0.08739583528310717
1983,South America,0.07570951203058242,0.0,0.16150418259500787,0.0,0.0,23703049,2700,9768300,540,0,20,17,469,1,0,11.399245,20.365252458333334,-0.21711762625,1975-1999,507,33474589,0.23721369462559028
1984,Africa,0.0,0.0,0.0,0.051461249182472205,0.0,3220000,0,5970,1588215,0,0,0,54,383,0,4.525942,24.054319333333336,-0.6878933891666666,1975-1999,437,4814185,0.051461249182472205
1984,Asia,0.0,0.0,0.004734716032995165,0.0026589575234663887,1.4314497013368731e-05,2000,0,51142757,6522005,0,230,290,2548,3371,0,3.7934334,19.105971916666665,-1.2378887316666667,1975-1999,6439,57666762,0.007407988053474922
1984,Europe,0.0,0.0,0.0,0.020778313171816557,0.0,0,0,2000,62310,200,0,0,0,465,17,14.204699,8.539885653333334,-0.9118404991666668,1975-1999,482,64510,0.020778313171816557
1984,North America,0.008486866216975829,0.0,0.0005516469926925239,0.02162114109050028,0.0,30000,0,26600,34657,0,0,0,29,523,0,19.051546,24.679607083333334,-0.9046214333333333,1975-1999,552,91257,0.030659654300168634
1984,Oceania,0.0,0.0,0.003249976602714085,0.0,0.0,0,0,6805,0,0,0,0,36,0,0,26.28826,24.521636458333333,0.019059500000000007,1975-1999,36,6805,0.003249976602714085
