Region,Year,Yearly anomaly average
Oceania,2020,0.5603352366666666
Oceania,2021,0.6397791666666667
Oceania,2022,0.8896303925
Oceania,2023,0.6301194033333334
Oceania,2024,0.5358030866666668
South America,1975,-0.907286165
South America,1976,-0.972445815
South America,1977,-0.43808269333333333
South America,1978,-0.5362097433333334
South America,1979,-0.5385219286666667
South America,1980,-0.36018419583333333
South America,1981,-0.49200662
South America,1982,-0.4052783660833333
South America,1983,-0.21711762625
South America,1984,-0.7330344491666666
South America,1985,-0.6625278783333334
South America,1986,-0.5507958791666666
South America,1987,-0.10457976866666667
South America,1988,-0.4186043710833333
South America,1989,-0.5665381758333333
South America,1990,-0.3627500561666667
South America,1991,-0.40337753249999997
South America,1992,-0.5465626733333334
South America,1993,-0.3677283916666667
South America,1994,-0.18673833358333333
South America,1995,-0.17363484475
South America,1996,-0.4196762983333333
South America,1997,-0.03655480999999997
South America,1998,0.22493791575000002
South America,1999,-0.45282761
South America,2000,-0.5853246058333333
South America,2001,-0.2291994091666667
South America,2002,0.01784674308333334
South America,2003,-9.536724999999191e-05
South America,2004,-0.07030486991666667
South America,2005,0.07827567958333335
South America,2006,0.06115039166666666
South America,2007,-0.057347295500000006
South America,2008,-0.09627930166666666
South America,2009,0.12610117552000003
South America,2010,0.22407261316666668
South America,2011,-0.04052289316666667
South America,2012,0.203172367
South America,2013,0.11879872933333335
South America,2014,0.21604712741666665
South America,2015,0.6068100875
South America,2016,0.44934081841666673
South America,2017,0.3745609925
South America,2018,0.10679499041666668
South America,2019,0.4566556591666666
South America,2020,0.40160624283333335
South America,2021,0.13419246608333332
South America,2022,-0.08628066641666667
South America,2023,0.7307354514166665
South America,2024,0.8733255053333334
