Year,Region,Drought,Extreme temperature,Flood,Storm,Wildfire
2010,Africa,7765876,0,4402477,203202,2770
2010,Asia,41482602,16482,179257510,6892324,20025
2010,Europe,0,11,303028,531884,7196
2010,North America,0,0,1200474,1289834,0
2010,Oceania,0,0,202017,45509,0
2010,South America,124500,57750,3451098,0,500
2011,Africa,26173194,0,1446429,123508,0
2011,Asia,1750000,4182472,129727092,37412268,0
2011,Europe,0,0,24469,7085,0
2011,North America,2500000,122643,1632352,999198,13105
2011,Oceania,0,0,217,46900,120
2011,South America,0,38915,3622161,2000,1482
2012,Africa,12973900,7500,9335212,471842,0
2012,Asia,16800000,130768,53549806,18882610,0
2012,Europe,5800,442844,123207,310,604
2012,North America,391485,0,94306,853727,2847
2012,Oceania,0,0,240381,24062,0
2012,South America,5391900,30113,675737,34630,3027
2013,Africa,5080000,0,2280876,201873,5016
2013,Asia,5000000,68500,26639524,48206971,0
2013,Europe,0,11325,1418175,22306,0
2013,North America,0,0,220772,349474,2375
2013,Oceania,6384,0,45227,7500,1440
2013,South America,418520,110191,1401274,63876,0
2014,Africa,6795326,0,950022,131112,0
2014,Asia,31726000,1017000,38037275,25307218,0
2014,Europe,0,93300,1132804,18095,0
2014,North America,4874545,8141,310205,245350,429
2014,Oceania,0,0,79580,88905,290
2014,South America,27051180,109257,1221482,18,13000
2015,Africa,30331228,66,2762968,222075,57003
2015,Asia,349931687,1059867,23010210,9828197,409664
2015,Europe,0,0,202830,17567,5977
2015,North America,800000,0,209991,82773,26400
2015,Oceania,2622200,0,20500,291206,743
2015,South America,0,200620,1310233,26500,119032
2016,Africa,11641000,750020,1289529,37272,0
2016,Asia,13520000,158100,74166999,5889034,60137
2016,Europe,0,0,61992,7200,1361
2016,North America,3600000,0,3509205,87564586,96452
2016,Oceania,100000,0,7180,545950,540
2016,South America,665000,0,198621,0,0
2017,Africa,16561874,1775000,1450141,1317109,7500
2017,Asia,2000000,0,51549735,12093329,0
2017,Europe,0,52759,45407,17445,17267
2017,North America,0,0,174919,11935516,55745
2017,Oceania,0,0,7204,53747,143
2017,South America,0,0,2392412,0,19608
2018,Africa,1226600,70000,3475674,506931,0
2018,Asia,21700000,326768,30124913,15820069,0
2018,Europe,0,0,75426,3730,5047
2018,North America,2546610,0,392688,1564563,256240
2018,Oceania,0,0,700,267200,0
2018,South America,75000,0,193856,1200,0
