date,tmax,tmin,tmed
05/1972,19.91,8.5,14.21
06/1972,22.8,10.89,16.84
07/1972,27.28,14.74,21.01
08/1972,27.36,14.44,20.9
09/1972,23.4,12.96,18.18
10/1972,19.21,10.69,14.95
11/1972,16.05,8.53,12.29
12/1972,12.68,5.41,9.04
01/1973,12.51,3.64,8.07
02/1973,13.6,4.03,8.82
03/1973,16.25,5.46,10.86
04/1973,19.54,7.46,13.5
05/1973,20.71,10.62,15.66
06/1973,25.69,13.71,19.7
07/1973,26.88,14.67,20.77
08/1973,29.87,16.06,22.96
09/1973,25.28,13.56,19.42
10/1973,20.83,10.84,15.83
11/1973,17.61,7.63,12.62
12/1973,12.82,2.89,7.86
01/1974,13.79,6.43,10.11
02/1974,13.39,4.79,9.09
03/1974,14.95,5.86,10.41
04/1974,16.4,6.86,11.63
05/1974,21.58,10.32,15.95
06/1974,24.66,13.39,19.02
07/1974,30.17,15.94,23.05
08/1974,28.47,14.19,21.33
09/1974,24.29,11.72,18
10/1974,19.36,7.61,13.48
11/1974,16.8,6.69,11.75
12/1974,14.43,4.34,9.38
01/1975,13.77,4.93,9.35
02/1975,14.28,6.7,10.49
03/1975,13.84,5.23,9.54
04/1975,18.25,7.11,12.68
05/1975,19.79,9.65,14.72
06/1975,24.69,12.63,18.66
07/1975,28.68,14.52,21.6
08/1975,29.51,15.09,22.3
09/1975,24.1,12.65,18.38
10/1975,21.97,11.5,16.73
11/1975,16.87,6.79,11.83
12/1975,11.62,3.18,7.4
01/1976,13.87,1.82,7.84
02/1976,14.58,5.67,10.13
03/1976,16.95,5.62,11.29
04/1976,16.56,7.13,11.84
05/1976,22.28,10.18,16.23
06/1976,28.97,14.76,21.86
07/1976,28.94,15.79,22.37
08/1976,28.5,15.4,21.95
09/1976,24.06,12.71,18.38
10/1976,18.56,9.89,14.22
11/1976,14.8,5.21,10
12/1976,13.56,7.12,10.34
01/1977,12.3,5.46,8.88
02/1977,13.78,7.21,10.49
03/1977,17.02,6.97,12
04/1977,19.33,8.4,13.86
05/1977,20.15,9.22,14.68
06/1977,22.32,10.99,16.66
07/1977,25.52,13.4,19.46
08/1977,26.08,13.34,19.71
09/1977,28.05,14.76,21.41
10/1977,20.92,11.41,16.16
11/1977,15.98,7.09,11.54
12/1977,15.09,8.32,11.71
01/1978,12.32,5.01,8.66
02/1978,14.35,6.59,10.47
